commune_name,quartier_name,adresse_name,adresse_id,collecte_manquante
LAMENTIN,JEANNE D'ARC,Che Palmiers,1300,Ordures ménagères (bac gris)
FORT-DE-FRANCE,SAINTE THERESE,Quai inter Îles,81,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,POINTE DES GRIVES,Entrée du port de la Pointe des Grives,646,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,POINTE DES GRIVES,Immeuble Acélor Mittal,647,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,POINTE DES GRIVES,Immeuble Bolloré,648,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,POINTE DES GRIVES,Immeuble CMA-CGM,649,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,POINTE DES GRIVES,Immeuble Frigodom,650,"Encombrants, déchets verts, DEEE (électroménagers)"
SCHOELCHER,RAVINE TOUZA,Voie Bois Ti-Baûme,2139,"Encombrants, déchets verts, DEEE (électroménagers)"
SCHOELCHER,RAVINE TOUZA,Voie n°1 = entrée face à Bois Ti-Baûme,2140,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,SAINTE THERESE,QUAI INTER ILE,2188,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,HYPER CENTRE-VILLE,Fort Saint Louis,2189,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,CHATEAUBOEUF,Impasse Ruban Martyrs,2192,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,BALATA,Impasse Détour bourdin,2193,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,MORNE MORISSOT,lot les batignolles,2194,"Encombrants, déchets verts, DEEE (électroménagers)"
FORT-DE-FRANCE,BAIE DES TOURELLES,Avenue Nelson Mandela (autre partie),16,Emballages (bac jaune)
FORT-DE-FRANCE,BALATA,Résidence Les Ombrages,46,Emballages (bac jaune)
FORT-DE-FRANCE,BAS CALVAIRE,Rue du Capitaine Manuel,68,Emballages (bac jaune)
FORT-DE-FRANCE,BAS CALVAIRE,Rue du Capitaine Pierre Rose,69,Emballages (bac jaune)
FORT-DE-FRANCE,BAS CALVAIRE,Rue du Lieutenant de Lacoste,70,Emballages (bac jaune)
FORT-DE-FRANCE,CHATEAUBOEUF-BOIS BOYER,Rue Alice Ozier-Lafontaine,151,Emballages (bac jaune)
FORT-DE-FRANCE,CHATEAUBOEUF-BOIS BOYER,Rue François Elie,154,Emballages (bac jaune)
FORT-DE-FRANCE,DESBROSSE LA VALLEE,Rue Ernest Clotail,247,Emballages (bac jaune)
FORT-DE-FRANCE,DESCLIEUX,Desclieux,248,Emballages (bac jaune)
FORT-DE-FRANCE,DIDIER/DESROCHERS,De route de Desrochers à Route de Didier,319,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Boulevard Léopold Bissol,376,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Impasse Bertrand Balaire,377,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Auge Chavagnes,378,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Carlos Finlay,379,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Carlos Finlay (PDR entrée),380,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Christian Marajo,381,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue de la Carrière,382,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue de la Chapelle,383,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue de la Lumière,384,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue de la Ravine (école Cardin),385,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue des Artistes,386,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue des Palmiers,387,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue du Photographe,388,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue du Sapotille,389,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Emilien Thumerville,390,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Ernest Lassus,391,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Fontaine Coco,392,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Juvenal Linval,393,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Léanise Daribo,394,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Pierre Bricé,395,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Rue Pomme Canelle,396,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Tunnel d'Ermitage,397,Emballages (bac jaune)
FORT-DE-FRANCE,ERMITAGE,Voie Emmanuel Vintar,398,Emballages (bac jaune)
FORT-DE-FRANCE,HYPER CENTRE-VILLE,Parc Floral et marché du Parc Floral,462,Emballages (bac jaune)
FORT-DE-FRANCE,HYPER CENTRE-VILLE,Rue Louis Blanc,467,Emballages (bac jaune)
